id,solution,implementation_steps,maintenance_requirements
18,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
19,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
20,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
21,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
22,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
23,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
24,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
25,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
26,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
27,Constructed Wetlands,"Identify site, Excavate and level, Install inlet/outlet, Fill with substrates, Plant native species","Weeding, Water flow and plant health monitoring"
28,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
29,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
30,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
31,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
32,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
33,Staircase Wetlands,"Select sloped site, Build terraces, Add gravel and plants, Create gravity-fed flow system","Sediment removal, Plant trimming"
34,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
35,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
36,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
37,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
38,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
39,Green Roofs and Green Walls,"Assess structure, Install waterproof layers, Add soil media, Plant vegetation, Integrate irrigation","Pruning, Drainage check, Membrane inspection"
40,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
41,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
42,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
43,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
44,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
45,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
46,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
47,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
48,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
49,Floating Treatment Wetlands,"Build floating raft, Add buoyant materials, Plant aquatic species, Deploy in water bodies","Replanting, Raft cleaning"
50,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
51,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
52,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
53,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
54,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
55,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
56,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
57,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
58,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
59,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
60,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
61,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
62,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
63,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
64,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
65,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
66,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
67,Decentralized Wastewater Treatment Systems (DEWATS),"Assess wastewater, Construct reactors and filters, Connect to toilets and outlets","Desludging, Plant monitoring"
68,Soak Pits and Leach Fields,"Excavate pit, Fill with gravel, Connect greywater outlet","Inspect for clogging, Gravel replacement"
69,Soak Pits and Leach Fields,"Excavate pit, Fill with gravel, Connect greywater outlet","Inspect for clogging, Gravel replacement"
70,Soak Pits and Leach Fields,"Excavate pit, Fill with gravel, Connect greywater outlet","Inspect for clogging, Gravel replacement"
71,Soak Pits and Leach Fields,"Excavate pit, Fill with gravel, Connect greywater outlet","Inspect for clogging, Gravel replacement"
72,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
73,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
74,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
75,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
76,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
77,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
78,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
79,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
80,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
81,Bioswales and Rain Gardens,"Identify low-lying areas, Excavate swales, Amend soil, Plant native vegetation","Weeding, Infiltration check"
82,Agroforestry Systems Using Treated Water,"Choose crops, Design cropping layout, Install irrigation system from greywater source",Soil and water testing
83,Agroforestry Systems Using Treated Water,"Choose crops, Design cropping layout, Install irrigation system from greywater source",Soil and water testing
84,Agroforestry Systems Using Treated Water,"Choose crops, Design cropping layout, Install irrigation system from greywater source",Soil and water testing
85,Agroforestry Systems Using Treated Water,"Choose crops, Design cropping layout, Install irrigation system from greywater source",Soil and water testing
86,Agroforestry Systems Using Treated Water,"Choose crops, Design cropping layout, Install irrigation system from greywater source",Soil and water testing
87,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
88,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
89,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
90,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
91,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
92,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
93,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
94,East Kolkata Wetlands Model,"Channel sewage to wetlands, Allow sedimentation, Use water for fish farming and irrigation","Community engagement, Fish and water monitoring"
95,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
96,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
97,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
98,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
99,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
100,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
101,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
102,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
103,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
104,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
105,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
106,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
107,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
108,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
109,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
110,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
111,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
112,Vermifiltration Systems,"Build filter bed layers, Add earthworms, Feed with greywater or septic effluent","Maintain worm population, Remove solids"
